Número inscripción,,Denominación social,,
6346,,ABEL VILLAÑO PORTILLO,,
6161,,ASOCIACIÓN DE ACCIÓN SOCIAL AUSARTZEN,,
6492,,"DOSUVE MARKETING & TRADE AFFAIRS, S.L.",,
6578,,"MONTAJES Y MANTENIMIENTOS DEL NORTE, S.L.",,
6448,,"INGURA INGENIERÍA, S.L.",,
6092,,IRSEARABA INSTITUTO PARA LA INCLUSIÓN SOCIAL,,
6593,,"VASCO INFORMATICA, S.L.",,
6573,,"CUSTAR, S.L.",,
6509,,"CONSTRUCCIONES Y ASFALTOS MULARRI, S.L",,
,,,,
6213,,GURTUBAY ARQUITECTOS  Y ASOCIADOS S.L.P,,
6281,,NURIA DIEZ ARGOTE,,
6349,,"BOOK LEGAL BILBAO, S.L",,
6450,,"BAITIC SOLUCIONES, S.L.",,
6160,,DIVAKIA S. COOP. PEQUEÑA,,
6202,,UNIVERSIDAD DEL PAÍS VASCO/EUSKAL HERRIKO UNIBERTSITATEA,,
6295,,BUS-DEÓBRIGA S.L.,,
6305,,DGM VASCULAR SL,,
6261,,"ARIN INNOVATION, S.L.",,
6339,,"PROTECCION LABORAL ADIPA, S.L.",,
7164,,"NAVITAS INGENIEROS, S.L.P.",,
6370,,JOSÉ MIGUEL ALMANDOZ SÁNCHEZ-GUARDAMINO,,
7348,,"AYC AUTOMATISMOS, S.L.",,
6427,,"BURUTXAGA HARAKINTZAK, S.L.",,
6093,,ARABAKO LAGUNTZA S. COOP.,,
5731,,DRUCK SERVICIOS GRÁFICOS S.L.,,
5845,,"QUALITY DUAL, S.L.",,
5785,,"ANATRAC A&I, S.A.",,
6036,,CONTA REHABILITACIÓN S.L.,,
6076,,AIRMEDICAL PRODUCTS SL,,
6610,,"KIROLAISI XXI, S.L.",,
7840,,"SERVICIOS Y OBRAS DEL NORTE, S.A.",,
5797,,FERNANDO ZALDO SAIZ,,
6105,,"3S GEOTECNIA Y TECNOLOGIA, S.L.",,
5897,,MIREN KARMELE BARCENA BARRENETXEA,,
,,,,
5722,,"GOIENER, S.COOP.",,
3813,,"EDITORIAL IPARRAGUIRRE, S.A.",,
5937,,"BIO-LOGIC SCIENCE INSTRUMENTS ESPAÑA, S.L.U.",,
5959,,VERTEX TECHNICS S.L,,
6061,,ALDALAN S.L,,
5875,,"GLOBAL SURGICAL SERVICE,S.L.",,
5876,,"BINARY SOFTWARE, S.L.",,
5848,,CUMPLIDO ALBAÑILERIA SL,,
5924,,SERVICIOS ENKARTERRI SL,,
5844,,"BARRIKA SURF KANP, S.L.",,
5919,,"A-E GABINETE JURIDICO, S.L.",,
624,,"ABBOTT LABORATORIES, S.A.",,
5967,,CONSAUDI OBRA CIVIL SL,,
6258,,TIPI GARA S. Coop. Pequeña,,
6141,,PARASITEC SL,,
5828,,DICORGES SL,,
6176,,CONSTRUCCIONES JOMETON S.L.,,
5799,,"INDENORT PV, S.L.",,
6525,,"GUZU, Sociedad Civil",,
6163,,"EQUIPAMIENTO Y PAVIMENTO DEPORTIVOS INNOVA SPORT, S.L.",,
5784,,"CLAN TECNOLOGICA,SL.",,
6001,,"SORMEN KOMUNIKAZIOA, S.L.",,
6034,,ECKOING COMMUNICATION SL,,
3530,,"K6 GESTION CULTURAL, S.L.",,
7292,,"VIARIUM INGENIERÍA, S.L.",,
,,,,
6914,,KULTURMAGIC S.L.,,
8490,,"EUSKODATA, S.A.",,
7337,,"BIDARTEKO LANAK, S.L.",,
7090,,"URTZI ALZOLA, S.L.",,
7119,,"JOSE PEÑA LASTRA, S.A.",,
7174,,"TENKA 7 ARKITEKTURA, S.L.L.P.",,
7103,,"SORKUNTZAREN LURRALDEA SORLAND, S.L.",,
7206,,ARKAITZ QUINCOCES BIGURI,,
6921,,JON ANDER URRESTI UGALDE,,
7285,,"HIDRIA, CIENCIA, AMBIENTE Y DESARROLLO, S.L.",,
7165,,"KEMIRA IBÉRICA, S.A.",,
8003,,"MIGOYA ABOGADOS, SOCIEDAD CIVIL PROFESIONAL",,
6996,,"HILL-ROM IBERIA, S.L.",,
7268,,"BOMBAS E INSTALACIONES GONZÁLEZ, S.L.",,
7041,,"CONNIVEL,14 S.L.",,
6929,,TÜV SÜD IBERIA SA.,,
6598,,"CANTERA CARRANZA-KARRANTZA HARROBI, S.L.",,
6857,,"EFINER SOLUCIONES ENERGETICAS, S.L.",,
6911,,"GALBAR EUSKADI, S.A.",,
6738,,"OHNER INNOVACION, S.L.",,
7193,,"IHEKI, S.L.",,
6396,,"VETASI ESPAÑA, S.L.",,
3602,,"INTEGRAL DE VIGILANCIA Y CONTROL, S.L.",,
6783,,"MADERAS SARATXAGA, S.L.",,
6904,,AXOMA 47 HIRUKO SLU,,
,,,,
6729,,"ARQUIA TURISMO, S.L.",,
6795,,SUMINISTROS DE PAPELERIA ERIMA SL,,
6784,,"BIDEKURTZE, S.L.",,
6915,,PROMUZA 2007 SL,,
6827,,XABIER REZABAL GURRUCHAGA,,
6676,,"SERVICIO ASISTIDO MÉDICO URGENTE, S.L.",,
6413,,ALQUI-ENVAS SL,,
6719,,"JIG EASY SERVICES, S.L.",,
6984,,SAGARMIÑA ERAIKETAK S.L.,,
7091,,"CANTABRANA JIMENEZ INGENIEROS, S.L.",,
6709,,"CIBERGRAF, S.L.",,
6750,,RUBÉN DE MIGUEL FERNÁNDEZ,,
6545,,"HIRIGINTZA CONSULTING, S.L.",,
6811,,"GRUPO DELTA EDICIONES DIGITALES, S.L.",,
7384,,"IZERTIS, S.A.",,
6429,,Emma Velo Castro,,
6680,,ARTURO RODRIGUEZ GUTIERREZ,,
6833,,"BPW TRAPACO, S.L.",,
7828,,"FIT ACTIV GYM, S.L.",,
7864,,"TAK LEARNING, S.L.",,
4713,,BILBAO SIGLO XXI EMPRESA DE SERVICIOS TURISTICOS SOCIEDAD LIMITADA,,
8614,,ANER ANSORENA MARQUIEGUI,,
8017,,"BERSON ORT BUEN SONIDO 2003, S.L.",,
7953,,"PRO-LITE TECHNOLOGY IBERIA, S.L.",,
7842,,"DEALER MACHINES, S.L.",,
,,,,
8029,,"COMERCIAL DE LIMPIEZAS AREETA, S.L.",,
7885,,"ATTEST CORPORATE, S.L.",,
7625,,"PAYMA COTAS EUSKADI, S.L.",,
7676,,MASS SECURITY SOLUTIONS S.L.,,
8046,,"PROMOCIONES BEIÑ, S.A.",,
7689,,"HITZEZ EUSKALTEGIA, S.L.",,
7783,,BADIHARDUGU: DEBA IBARREKO EUSKERA ALKARTIA,,
7698,,IMPRIMACIONES PLASTICAS S.L,,
8013,,"A4 ARQUITECTOS, ESTUDIO DE ARQUITECTURA Y URBANISMO, S.L.P.",,
7894,,"MONTAJES ELECTRICOS NABAR, S.L.",,
2612,,KOOPERA SERVICIOS AMBIENTALES SOCIEDAD COOPERATIVA,,
7681,,"LANDA-OCHANDIANO ARQUITECTOS, S.L.",,
7650,,"TECIMAN INTERNATIONAL, S.L.",,
7616,,"GIZADI LAGUNTZA ZERBITZUAK, S.L.",,
8255,,"PREVENCONTROL, S.A.",,
7563,,"VORTEX DIMENSIÓN DIGITAL, S.L.L.",,
7654,,"COMERCIAL ARBERE, S.L.",,
8105,,"SINTERSA HERRAMIENTAS PARA MADERA, S.L.",,
8000,,"AMBIENTE ET ODORA, S.L.",,
7330,,"TRANSFORMACION DIGITAL DE ESPACIOS, S.L.",,
7437,,"MERKATU INTERACTIVA, S.L.",,
7380,,"AUDINFOR, S.L.",,
7549,,"BASEFORM SOFTWARE, S.L.",,
7423,,GIPUZKOAKO BASO ELKARTEA,,
7639,,"ALAND SERVICIOS Y REFORMAS DEL NORTE, S.L.",,
,,,,
7715,,"M.HERMIDA, S.A.",,
7702,,VICTOR PEREZ AGRICOLA S.L,,
7614,,DANIEL DIEZ CABAREDA,,
7458,,"GEMMA CULTUM, S.L.",,
7436,,NIKOLAS BARANDIARAN CONTRERAS,,
7466,,CONSTRUCCIONES Y DESMONTES RIVERA NAVARRA S.A.,,
7464,,"ADUO GROUP GLOBAL EDUCATIONAL TECHNOLOGY, S.L.",,
8650,,JOSE LUIS RODRIGUEZ MUÑOZ,,
7447,,"HOSFRINOR, S.L.",,
7317,,HUBER TECHNOLOGY ESPAÑA S.L.U.,,
7377,,"EGUIBASO, S.L.",,
7496,,"SOTRATHERM, S.L.L.",,
7638,,"IBEROCLINIC ELECTROMEDICINA, S.L.",,
7506,,"INGNOVA ENTERPRISE, S.L.",,
7587,,"ICA SISTEMAS Y SEGURIDAD, S.L.",,
5192,,"COOPER CARS BARAKALDO, S.L",,
8361,,ASCENSORES LEZAMA SL,,
7522,,"PAGORRA HONDALANAK, S.L.",,
7538,,"SEURAVA KEY, S.L.",,
7906,,PESCADOS JULIA RUIZ BERADONA SA,,
7401,,"CABOAZUL ASESORES FINANCIEROS, S.L.",,
7547,,"AZVI, S.A.",,
7510,,AINARA ETXEARTE GARCIA,,
7497,,"INSTALACIONES DE CONTROL BACTERIOLOGICO, S. L.",,
7340,,"PUBLIKA GESTIÓN PUBLICITARIA, S.L.",,
,,,,
8654,,"RELIEVES BASTERRA, S.A.",,
8347,,"ESTUDIO TAZUECO, S.L.",,
8386,,"TALLERES DILLA, S.L.",,
8700,,FUNDACION ISEAK,,
8627,,"CENTRO ELGUEZABAL, S.L.",,
8445,,"GELSUKAR, S.L.",,
8602,,GUNKA STUDIOS SOCIEDAD LIMITADA,,
8696,,"TRADINSA INDUSTRIAL, S.L.",,
8653,,"INCEBI INFORMÁTICA CERCANA, S.L.",,
8787,,IVAN MARRERO LOPEZ,,
8860,,"OBRAS Y SERVICIOS DAYKER, S.L.",,
8248,,"LOOMIS SPAIN, S.A.",,
8574,,"ALBAÑILERIA HIRUROK, S.L.",,
8480,,MIREN BAKARNE MARTINEZ MAQUIBAR,,
8146,,BILIBIN KOOP. ELK. TXIKIA,,
8564,,"ACTIVE BUSINESS  TECHNOLOGY, S.L.",,
8440,,ZU ETA BIOK ELKARTE KOOPERATIBOA,,
8125,,MARIA ISABEL MORENO MARTINEZ,,
8505,,"EQUIPO 7 RESTAURACION, S.A.",,
8585,,ASOCIACION PARA LA GESTION DE LA INTEGRACION SOCIAL,,
8536,,"RESIDENCIA ZUETXE-BAKIO, S.L.",,
8741,,"REKA BERRI, S.L.",,
8754,,JON UNAI URRUTICOECHEA GUTIERREZ,,
8275,,"SOLUCIONES GLOBALES GESTOR DE PROYECTOS, S.L.",,
8837,,"SERVICIOS Y CARRETILLAS ELEVADORAS, S.A.",,
,,,,
8856,,XOMORRO KULTUR TALDEA ELKARTEA,,
8843,,BE ON SPORTS SL,,
8689,,"ALFAQUANTUM, S.L.",,
4896,,"GUREAK ARABA, S.L.U.",,
8735,,LOURDES GARCIA PERNIA,,
8368,,"ADSMURAI, S.L.",,
8229,,BABCOCK MISSION CRITICAL SERVICES FLEET MANAGEMENT SAU,,
8710,,"OTEIZA INSTALACIONES, S.L.",,
8794,,IANIRE GIL RODRIGUEZ,,
8202,,"ACOMET METALES Y MINERALES, S.L.",,
